"218215186","Blk 603A","1.4035487","103.9084722"
"218215187","Blk 603B","1.4031873","103.9082131"
"218215188","Blk 603C","1.4034137","103.907916"
"218215189","Blk 604A","1.4042647","103.9074102"
"218215190","Blk 604B","1.4039018","103.9072235"
"218215191","Blk 604C","1.4036773","103.9075724"
"218215193","Blk 612A","1.4042576","103.9092016"
"218215194","Blk 612B","1.4049451","103.9081374"
"218215195","Blk 612C","1.4051606","103.907831"
"218215196","Blk 612D","1.4047463","103.9076175"
"218215197","Blk 613A","1.404527","103.9079211"
"218215198","Blk 613B","1.4043172","103.9082461"
"218215199","Blk 613C","1.404103","103.9085458"
"218215200","Blk 613D","1.4038749","103.9088781"
"218215201","Blk 614","1.4033493","103.9096363"
"218215202","Blk 614A","1.4036136","103.9092319"
"218215203","Blk 614B","1.403051","103.9100811"
"218215204","Blk 615A","1.4040051","103.9095691"
"218215205","Blk 615B","1.4037658","103.9099181"
"218215206","Blk 615C","1.4034879","103.9102826"
"218215208","617A","1.4023895","103.9118418"
"218215209","617B","1.4021312","103.9121958"
"218215210","617C","1.4019209","103.9125034"
"218215211","617D","1.4016874","103.9128405"
"218215212","618A","1.4011885","103.9125063"
"218215213","618B","1.4014694","103.912109"
"218215214","618C","1.401654","103.9118562"
"218215215","618D","1.4019137","103.9114643"
"218215216","619A","1.402659","103.911458"
"218215217","619B","1.4029488","103.9110484"
"218215218","619C","1.4024585","103.9106922"
"218215220","619D","1.4021894","103.9110754"
"218215221","622A","1.4000377","103.9110567"
"218215222","622B","1.4002983","103.9107255"
"218215223","622C","1.4007194","103.9108095"
"218215226","623A","1.3998609","103.9119724"
"218215227","623B","1.3994688","103.9118215"
"218215229","623C","1.3997381","103.9114497"
"218215230","624A","1.4008568","103.911349"
"218215231","624B","1.4007435","103.9116958"
"218215232","624C","1.4004795","103.9120551"
"218215233","632A","1.4006976","103.9133537"
"218215234","632B","1.4008386","103.9131451"
"218215235","632C","1.4009758","103.912972"
"218215236","633A","1.4013413","103.9131942"
"218215237","633B","1.4011994","103.9134116"
